,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
170,Tall Girl,Nzingha Stewart,McG Mary Viola Corey Marsh,,,Ava Michelle Griffin Gluck Sabrina Carpenter Paris Berelc Luke Eisner Clara Wilsey Anjelika Washington Rico Paris Angela Kinsey Steve Zahn,Mateo Messina,Eric Edwards,Priscilla Nedd Friendly,,Netflix,"September 13, 2019 (United States)",102 minutes,United States,English,$13.6 million,,102,13600000,,13-09-19,,,,Sam Wolfson,Wonderland Sound and Vision,,,,,,,,,,,,,,,,,,,,,
171,Between Two Ferns: The Movie,Scott Aukerman,"['Caitlin Daley', 'Mike Farah', 'Scott Aukerman', 'Zach Galifianakis']",Scott Aukerman,"['Between Two Ferns with Zach Galifianakis', 'by', 'Scott Aukerman', 'and', 'B. J. Porter']","['Zach Galifianakis', 'Lauren Lapkus', 'Ryan Gaul', 'Jiavani Linayao']",Alex Wurman,Benjamin Kasulke,"['Brendan Walsh', 'Hank Friedmann']",,Netflix,20-Sep-19,83 minutes,United States,English,,,83,,,20-09-19,,,,,"['Funny or Die', 'Billios Productions']","['Zach Galifianakis', 'Scott Aukerman']",,,,,,,,,,,,,,,,,,,,
172,In the Shadow of the Moon,Jim Mickle,Brian Kavanaugh-Jones Ben Pugh Rian Cahill Linda Moran Jim Mickle,,,Boyd Holbrook Cleopatra Coleman Michael C. Hall,Jeff Grace,David Lanzenberg,Michael Berenbaum,,Netflix,"September 21, 2019 ( Fantastic Fest ) September 27, 2019 (United States)",115 minutes,United States,English,,,115,,,21-09-19,,,,Gregory Weidman Geoff Tock,42 Automatik Nightshade,,,,,,,,,,,,,,,,,,,,,
173,In the Tall Grass,Vincenzo Natali,Steve Hoban Jimmy Miller M. Riley,Vincenzo Natali,"['In the Tall Grass', 'by', 'Stephen King', 'Joe Hill']",Harrison Gilbertson Laysla De Oliveira Avery Whitted Will Buie Jr. Rachel Wilson Patrick Wilson,Mark Korven,Craig Wrobleski,Michele Conroy,,Netflix,"September 20, 2019 ( Fantastic Fest ) October 4, 2019 (Netflix)",90 minutes 101 minutes (Extended version),Canada,English,,,90,,,20-09-19,,,,,Copperheart Entertainment Netflix,,,,,,,,,,,,,,,,,,,,,
174,El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,"['Breaking Bad', 'by Vince Gilligan']",Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,,Netflix,11-Oct-19,122 minutes,United States,English,more than $6 million,"at least $40,000",122,6000000,40000,11-10-19,,,,Vince Gilligan,Sony Pictures Television Gran Vía Productions High Bridge Productions,,,,,,,,,,,,,,,,,,,,,
175,Fractured,Brad Anderson,Neal Edelstein Mike Macari Paul Schiff,,,Sam Worthington Lily Rabe Stephen Tobolowsky Adjoa Andoh Shane Dean Lauren Cochrane,Anton Sanko,Björn Charpentier,Robert Mead,Koji Productions Crow Island Films Macari/Edelstein Paul Schiff Productions,Netflix,"September 22, 2019 ( Fantastic Fest ) October 11, 2019 (United States)",100 minutes,United States,English,,,100,,,22-09-19,,,,Alan B. McElroy,,,,,,,,,,,,,,,,,,,,,,
176,The Forest of Love,Sion Sono,Hiroshi Muto,,,Kippei Shiina Kyoko Hinami Shinnosuke Mitsushima,Kenji Katoh,Sôhei Tanikawa,Takayuki Masuda,,Netflix,11-Oct-19,151 minutes,Japan,Japanese,,,151,,,11-10-19,,,,Sion Sono,,,,,,,,,,,,,,,,,,,,,,
177,Street Flow,Leïla Sy Kery James,Toufik Ayadi,,,Jammeh Diangana Bakary Diombera Kery James,,,,,Netflix,12-Oct-19,,France,French,,,,,,12-10-19,,,,Kery James,Srab Films Les Films Velvet L’Insensé Films,,,,,,,,,,,,,,,,,,,,,
178,Eli,Ciarán Foy,Trevor Macy John Zaozirny,,,Kelly Reilly Sadie Sink Lili Taylor Max Martini Charlie Shotwell,Bear McCreary,Jeff Cutter,Jason Hellmann,,Netflix,"October 18, 2019 (United States)",98 minutes,United States,English,$11 million,,98,11000000,,18-10-19,,,,David Chirchirillo Ian Goldberg Richard Naing,Paramount Pictures Paramount Players MTV Films Intrepid Pictures Bellevue Productions,,,,,,,,,,,,,,,,,,,,,
179,Seventeen,Daniel Sánchez Arévalo,,,,Biel Montoro Nacho Sánchez,,,,,Netflix,"September 27, 2019 ( San Sebastián ) October 4, 2019 (Spain)",,Spain,Spanish,,,,,,27-09-19,,,,Daniel Sánchez Arévalo Araceli Sánchez,Atípica Films,,,,,,,,,,,,,,,,,,,,,
180,The Laundromat,Steven Soderbergh,Scott Z. Burns Lawrence Grey Gregory Jacobs Steven Soderbergh Michael Sugar,Scott Z. Burns,"['Secrecy World: Inside the Panama Papers Investigation of Illicit Money Networks and the Global Elite', 'by', 'Jake Bernstein']",Meryl Streep Gary Oldman Antonio Banderas Jeffrey Wright Robert Patrick David Schwimmer Rosalind Chao Sharon Stone,David Holmes,Peter Andrews,Mary Ann Bernard,,Netflix,"September 1, 2019 ( Venice ) September 27, 2019 (United States)",95 minutes,United States,English,,,95,,,01-09-19,,,,,Anonymous Content Grey Matter Productions Topic Studios Netflix Sugar23,,,,,,,,,,,,,,,,,,,,,
181,Upstarts,Udai Singh Pawar,"['Raja Krishna Menon', 'Janani Ravichandran', 'Jawahar Sharma']",,,"['Priyanshu Painyuli', 'Chandrachoor Rai', 'Shadab Kamal', 'Sheetal Thakur']",,,,,Netflix,18-Oct-19,,India,Hindi,,,,,,18-10-19,,,,,Bandra West Pictures,,,,,,,,,,,,,,,,,,,,,
182,Dolemite Is My Name,Craig Brewer,Eddie Murphy John Davis John Fox,,,Eddie Murphy Da'Vine Joy Randolph Keegan-Michael Key Mike Epps Craig Robinson Tituss Burgess Wesley Snipes,Scott Bomar,Eric Steelberg,Billy Fox,,Netflix,"September 7, 2019 ( TIFF ) October 4, 2019 (United States)",118 minutes,United States,English,,,118,,,07-09-19,,,,Scott Alexander Larry Karaszewski,Davis Entertainment Netflix,,,,,,,,,,,,,,,,,,,,,
183,Rattlesnake,Zak Hilditch,,,,Carmen Ejogo Theo Rossi Emma Greenwell,,,,,Netflix,25-Oct-19,85 minutes,United States,English,,,85,,,25-10-19,,,,Zak Hilditch,Campfire Netflix,,,,,,,,,,,,,,,,,,,,,
184,The King,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Liz Watts David Michôd Joel Edgerton,,"['Henry IV, Part 1', ',', 'Henry IV, Part 2', 'and', 'Henry V', 'by', 'William Shakespeare']",Timothée Chalamet Joel Edgerton Robert Pattinson Lily-Rose Depp Sean Harris Ben Mendelsohn,Nicholas Britell,Adam Arkapaw,Peter Sciberras,Plan B Entertainment Netflix Blue-Tongue Films Porchlight Films,Netflix,2 September 2019 ( Venice ) 11 October 2019 (United States),140 minutes,Australia United States,English,$23 million,"$10,000+",140,23000000,10000,02-09-19,,,,David Michôd Joel Edgerton,,,,,,,,,,,,,,,,,,,,,,
185,American Son,Kenny Leon,Kenny Leon Kristin Bernstein Christopher Demos-Brown,,"['American Son', 'by Christopher Demos-Brown']",Kerry Washington Steven Pasquale Jeremy Jordan Eugene Lee,Lisbeth Scott,Kramer Morgenthau,Melissa Kent,,Netflix,"September 12, 2019 (Toronto Film Festival) November 1, 2019 (Netflix)",90 minutes,United States,English,,,90,,,12-09-19,,,,Christopher Demos-Brown,Simpson Street,,,,,,,,,,,,,,,,,,,,,
186,Drive,Tarun Mansukhani,Hiroo Yash Johar Karan Johar Apoorva Mehta,,,Sushant Singh Rajput Jacqueline Fernandez Naufal Azmir Khan Pankaj Tripathi Vikramjeet Virk Sapna Pabbi Vibha Chibber,"['Songs:', 'Tanishk Bagchi', 'Amartya Bobo Rahut', 'Javed - Mohsin', 'Score:', 'QARAN']",Vishal Sinha,Tarun Mansukhani,,Netflix,01-Nov-19,119 minutes,India,Hindi,,,119,,,01-11-19,,,,Tarun Mansukhani,Dharma Productions,,,,,,,,,,,,,,,,,,,,,
187,The Man Without Gravity,Marco Bonfanti,,,,Elio Germano Michela Cescon Elena Cotta,,,,Isaria Productions Zagora Climax Films Netflix,Netflix,"November 1, 2019 (Italy)",,"Italy, Belgium, France",Italian,,,,,,01-11-19,,,,Marco Bonfanti,,,,,,L'uomo senza gravità,,,,,,,,,,,,,,,,
188,Holiday in the Wild,Ernie Barbarash,Brad Krevoy Amy Krell,,,Rob Lowe Kristin Davis,Alan Lazar,Hein de Vos,Heath Ryan,,Netflix,01-Nov-19,86 minutes,United States,English,,,86,,,01-11-19,,,,Neal Dobrofsky Tippi Dobrofsky,,,,,,,,,,,,,,,,,,,,,,
189,Let It Snow,Luke Snellin,Dylan Clark Alexa Faigen,Laura Solon Victoria Strouse Kay Cannon,"['Let It Snow: Three Holiday Romances', 'by', 'John Green', ',', 'Lauren Myracle', ',', 'Maureen Johnson']",Isabela Merced Matthew Noszka Liv Hewson Odeya Rush Kiernan Shipka Mitchell Hope Shameik Moore Anna Akana Jacob Batalon Joan Cusack,Keegan DeWitt,Jeff Cutter,Evan Henke,,Netflix,"November 8, 2019 (United States)",92 minutes,United States,English,,,92,,,08-11-19,,,,,Dylan Clark Productions,,,,,,,,,,,,,,,,,,,,,
190,Earthquake Bird,Wash Westmoreland,Georgina Pope Michael Pruss Ann Ruark Ridley Scott Kevin J. Walsh,Wash Westmoreland,"['The Earthquake Bird', 'by', 'Susanna Jones']",Alicia Vikander Riley Keough Naoki Kobayashi Jack Huston,Atticus Ross Leopold Ross Claudia Sarne,Chung Chung-hoon,Jonathan Alberts,,Netflix,"October 10, 2019 ( LFF ) November 1, 2019 (United States)",107 minutes,"['United Kingdom', 'United States']",English Japanese,,,107,,,10-10-19,,,,,Scott Free Productions Twenty First City,,,,,,,,,,,,,,,,,,,,,
191,House Arrest,Samit Basu and Shashanka Ghosh,,,,"['Ali Fazal', 'Shriya Pilgaonkar', 'Jim Sarbh', 'Barkha Singh']",,,,,Netflix,15-Nov-19,104 minutes,India,Hindi,,,104,,,15-11-19,,,,Samit Basu,India Stories,,,,,,,,,,,,,,,,,,,,,
192,Klaus,Sergio Pablos,Jinko Gotoh Sergio Pablos Marisa Roman Matthew Teevan Mercedes Gamero Mikel Lejarza Ortiz Gustavo Ferrada,Sergio Pablos Jim Mahoney Zach Lewis,,Jason Schwartzman J. K. Simmons Rashida Jones Will Sasso Neda Margrethe Labba Sergio Pablos Norm Macdonald Joan Cusack,Alfonso González Aguilar,,Pablo Garcia Revert,,Netflix,08-Nov-19,97 minutes,Spain,English Northern Sami,$40 million,,97,40000000,,08-11-19,,,,,Netflix Animation Sergio Pablos Animation Studios Atresmedia Cine,Sergio Pablos,,,,,,,,,,,,,,,,,,,,
193,The Knight Before Christmas,Monika Mitchell,Brad Krevoy Vanessa Hudgens,,,Vanessa Hudgens Josh Whitehouse Emmanuelle Chriqui,Roger Bellon,Greg Gardiner,Lara Mazur,,Netflix,21-Nov-19,92 minutes,United States,English,,,92,,,21-11-19,,,,Cara J. Russell,Brad Krevoy Productions,,,,,,,,,,,,,,,,,,,,,
194,The Irishman,Martin Scorsese,Martin Scorsese Robert De Niro Jane Rosenthal Emma Tillinger Koskoff Irwin Winkler Gerald Chamales Gastón Pavlovich Randall Emmett Gabriele Israilovici,Steven Zaillian,"['I Heard You Paint Houses', 'by', 'Charles Brandt']",Robert De Niro Al Pacino Joe Pesci Ray Romano Bobby Cannavale Anna Paquin Stephen Graham Harvey Keitel,Robbie Robertson,Rodrigo Prieto,Thelma Schoonmaker,TriBeCa Productions Sikelia Productions Winkler Films,Netflix,"September 27, 2019 ( NYFF ) November 1, 2019 (United States)",209 minutes,United States,English,$159–250 million,$8 million,209,159000000,8000000,27-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Holiday Rush,Leslie Small,Julie Crank Di Cataldo Sean Dwyer Elizabeth Cullen,,,Romany Malco Sonequa Martin-Green Deon Cole Amarr M. Wooten La La Anthony Alysia Livingston Andrea-Marie Alphonse Selena-Marie Alphonse Roscoe Orman Malika Samuel Deysha Nelson Tamala Jones Darlene Love,Kathryn Bostic,Keith L. Smith,Jamie Conklin,,Netflix,28-Nov-19,94 minutes,United States,English,,,94,,,28-11-19,,,,Sean Dwyer Greg Cope White,Poke Prod Production,,,,,,,,,,,,,,,,,,,,,
196,Dead Kids,Mikhail Red,Pauline Zamora,,,Sue Ramirez Khalil Ramos Markus Paterson Vance Larena Kelvin Miranda Gabby Padilla Jan Silverio,,,Nikolas Red,,Netflix,"November 17, 2019 ( Cinema One Originals Film Festival ) December 1, 2019",94 minutes,Philippines,Filipino,,,94,,,17-11-19,,,,Nikolas Red,Globe Studios Pelikula Red Asmik Ace,,,,,,,,,,,,,,,,,,,,,
197,A Christmas Prince: The Royal Baby,John Schultz,Amy Krell,,,Rose McIver Ben Lamb Alice Krige Honor Kneafsey Sarah Douglas,Zack Ryan,Viorel Sergovici,Marshall Harvey,,Netflix,05-Dec-19,85 minutes,United States,English,,,85,,,05-12-19,,,,Nate Atkins,MPCA,,,,,,,,,,,,,,,,,,,,,
198,Marriage Story,Noah Baumbach,David Heyman Noah Baumbach,,,Scarlett Johansson Adam Driver Laura Dern Alan Alda Ray Liotta Julie Hagerty Merritt Wever,Randy Newman,Robbie Ryan,Jennifer Lame,Heyday Films,Netflix,"August 29, 2019 ( Venice ) November 6, 2019 (United States) November 15, 2019 (United Kingdom)",137 minutes,United States United Kingdom,English,$18 million,$2.3 million,137,18000000,2300000,29-08-19,,,,Noah Baumbach,,,,,,,,,,,,,,,,,,,,,,
199,6 Underground,Michael Bay,Michael Bay Ian Bryce David Ellison Dana Goldberg Don Granger,,,Ryan Reynolds Mélanie Laurent Corey Hawkins Adria Arjona Manuel Garcia-Rulfo Ben Hardy Lior Raz Payman Maadi Yuri Kolokolnikov Kim Kold Dave Franco,Lorne Balfe,Bojan Bazelli,William Goldenberg Roger Barton Calvin Wimmer,,Netflix,"December 10, 2019 ( The Shed ) December 13, 2019 (United States)",128 minutes,United States,English,$150 million,,128,150000000,,10-12-19,,,,Paul Wernick Rhett Reese,Skydance Media Bay Films,,,,,,,,,,,,,,,,,,,,,
200,The Two Popes,Fernando Meirelles,Dan Lin Jonathan Eirich Tracey Seaward,Anthony McCarten,"['The Pope', 'by Anthony McCarten']",Anthony Hopkins Jonathan Pryce,Bryce Dessner,César Charlone,Fernando Stutz,,Netflix,"August 31, 2019 ( Telluride ) November 27, 2019 (United States) November 29, 2019 (United Kingdom)",125 minutes,United Kingdom United States Italy Argentina,English,,"$758,711 ",125,,758711,31-08-19,,,,,Netflix,,,,,,,,,,,,,,,,,,,,,
201,Como caído del cielo,José Pepe Bojórquez,,José Pepe Bojórquez Alfredo Felix-Díaz,,Omar Chaparro,Jorge Avendaño Benjamin Shwartz,Chris Chomyn,,Caldera/De Fanti Entertainment Esparza Caldera Entertainment La Victoria Films Netflix,Netflix,24 December 2019 (Mexico),,Mexico,Spanish,,,,,,24-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,
202,The App,Elisa Fuksas,,,,,,,,,Netflix,26-Dec-19,79 minutes,Italy,Italian,,,79,,,26-12-19,,,,Elisa Fuksas Lucio Pellegrini,Indiana Production Company Netflix,,,,,,,,,,,,,,,,,,,,,
203,Ghost Stories,Karan Johar Dibakar Banerjee Zoya Akhtar Anurag Kashyap,Ronnie Screwvala Ashi Dua,,,Sobhita Dhulipala Mrunal Thakur Avinash Tiwary Janhvi Kapoor Surekha Sikri Raghuvir Yadav Gulshan Devaiah Anish Bamne Pavail Gulati,,Sylvester Fonseca Tanay Satam Kamaljeet Negi Manu Anand Mitesh Mirchandani Ranjan Palit,,,Netflix,01-Jan-20,144 minutes,India,Hindi,,,144,,,01-01-20,,,,Karan Johar Dibakar Banerjee Zoya Akhtar Isha Luthra Avinash Sampath,"['RSVP Movies', 'Flying Unicorn Entertainment']",,,,,,,,,,,,,,,,,,,,,
204,A Fall from Grace,Tyler Perry,Mark E. Swinton Will Areu,,,Crystal Fox Phylicia Rashad Bresha Webb Cicely Tyson Tyler Perry,Jay Weigel,Terrence Burke,Larry Sexton,,Netflix,17-Jan-20,120 minutes,United States,English,,,120,,,17-01-20,,,,Tyler Perry,Tyler Perry Studios,,,,,,,,,,,,,,,,,,,,,
205,Airplane Mode,César Rodrigues,Luiz Noronha,,,Larissa Manoela Erasmo Carlos Katiuscia Canoro André Frambach Dani Ornellas Eike Duarte Nayobe Nzainab,,,,,Netflix,23-Jan-20,95 minutes,Brazil,Portuguese,,,95,,,23-01-20,,,,Renato Fagundes Alice Name-Bomtempo,A Fábrica,,,,,,Modo Avião,,,,,,,,,,,,,,,
206,Horse Girl,Jeff Baena,Mel Eslyn Alana Carithers Jeff Baena Alison Brie,,,Alison Brie Debby Ryan John Reynolds Molly Shannon John Ortiz Paul Reiser,Josiah Steinbrick Jeremy Zuckerman,Sean McElwee,Ryan Brown,,Netflix,"January 27, 2020 (Sundance) February 7, 2020 (United States)",103 minutes,United States,English,,,103,,,27-01-20,,,,Jeff Baena Alison Brie,Duplass Brothers Productions,,,,,,,,,,,,,,,,,,,,,
207,To All the Boys: P.S. I Still Love You,Michael Fimognari,Matt Kaplan,Sofia Alvarez J. Mills Goodloe,"['P.S. I Still Love You', 'by', 'Jenny Han']",Lana Condor Noah Centineo Jordan Fisher Anna Cathcart Janel Parrish Ross Butler Madeleine Arthur Emilija Baranac Trezzo Mahoro Holland Taylor Sarayu Blue John Corbett,Joe Wong,Michael Fimognari,Joe Klotz,Overbrook Entertainment Awesomeness Films Ace Entertainment,Netflix,12-Feb-20,102 minutes,United States,English,$18 million,,102,18000000,,12-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Isi & Ossi,Oliver Kienle,Uwe Schott Stefan Arndt Jorgo Narjes,,,Lisa Vicari Dennis Mojen Christina Hecke Pegah Ferydoni,Michael Kadelbach,Yoshi Heimrath,Knut Hake,,Netflix,14 February 2020 (Germany),113 minutes,Germany,German,,,113,,,14-02-20,,,,Oliver Kienle,X-Filme Creative Pool,,,,,,,,,,,,,,,,,,,,,
209,The Last Thing He Wanted,Dee Rees,Cassian Elwes Dee Rees,Marco Villalobos Dee Rees,"['The Last Thing He Wanted', 'by', 'Joan Didion']",Anne Hathaway Ben Affleck Rosie Perez Edi Gathegi Mel Rodriguez Toby Jones Willem Dafoe,Tamar-kali,Bobby Bukowski,Mako Kamitsuna,,Netflix,"January 27, 2020 ( Sundance ) February 21, 2020 (United States)",115 minutes,United States United Kingdom,English,,,115,,,27-01-20,,,,,Elevated Films Little Red Hen The Fyzz Facility,,,,,,,,,,,,,,,,,,,,,
210,Yeh Ballet,Sooni Taraporevala,Siddharth Roy Kapur,,,Julian Sands Achintya Bose Manish Chauhan,,,,,Netflix,21-Feb-20,117 min,,Hindi,,,117,,,21-02-20,,,,Sooni Taraporevala,Roy Kapur Films,,,,,,,,,,,,,,,,,,,,,
211,All the Bright Places,Brett Haley,Paula Mazur Mitchell Kaplan Elle Fanning Brittany Kahan-Ward Doug Mankoff Andrew Spaulding,Jennifer Niven Liz Hannah,"['All the Bright Places', 'by Jennifer Niven']",Elle Fanning Justice Smith Alexandra Shipp Kelli O'Hara Lamar Johnson Virginia Gardner Felix Mallard Sofia Hasmik Keegan-Michael Key Luke Wilson,Keegan DeWitt,Rob C. Givens,Suzy Elmiger,Echo Lake Entertainment Mazur/Kaplan Company Demarest Media,Netflix,28-Feb-20,108 minutes,United States,English,,,108,,,28-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Guilty,Ruchi Narain,"['Karan Johar', 'Apoorva Mehta']",,,Kiara Advani Akansha Ranjan Kapoor Gurfateh Singh Pirzada Taher Shabbir,Ankur Tewari,Andrew Boulter,Bodhaditya Banerjee,,Netflix,06-Mar-20,119 minutes,India,Hindi,,,119,,,06-03-20,,,,"['Kanika Dhillon', 'Ruchi Narain', 'Atika Chohan']",Dharmatic,,,,,,,,,,,,,,,,,,,,,
213,Spenser Confidential,Peter Berg,Neal H. Moritz Toby Ascher Mark Wahlberg Stephen Levinson Peter Berg,,"['Wonderland', 'by', 'Ace Atkins']",Mark Wahlberg Winston Duke Alan Arkin Iliza Shlesinger Bokeem Woodbine Marc Maron Austin Post,Steve Jablonsky,Tobias A. Schliessler,Mike Sale,,Netflix,"March 6, 2020 (United States)",111 minutes,United States,English,,,111,,,06-03-20,,,,Sean O'Keefe Brian Helgeland,Original Film Closest to the Hole Productions Leverage Entertainment Film 44,,,,,,,,,,,,,,,,,,,,,
214,Lost Girls,Liz Garbus,Anne Carey Kevin McCormick,,"['Lost Girls: An Unsolved American Mystery', 'by', 'Robert Kolker']",Amy Ryan Thomasin McKenzie Lola Kirke Oona Laurence Dean Winters Miriam Shor Reed Birney Kevin Corrigan Gabriel Byrne,,Igor Martinovic,Camilla Toniolo,Archer Gray Langley Park Productions,Netflix,"January 28, 2020 ( Sundance ) March 13, 2020 (United States)",95 minutes,United States,English,,,95,,,28-01-20,,,,Michael Werwie,,,,,,,,,,,,,,,,,,,,,,
215,Ultras,Francesco Lettieri,,,,Aniello Arena Ciro Nacca Simone Borrelli,Liberato,,,,Netflix,09-Mar-20,108 minutes,Italy,Italian,,,108,,,09-03-20,,,,Francesco Lettieri,Indigo Film Mediaset,,,,,,,,,,,,,,,,,,,,,
216,The Occupant,David Pastor Àlex Pastor,,,,Javier Gutiérrez Mario Casas Bruna Cusí,,,,,Netflix,25-Mar-20,,Spain,Spanish,,,,,,25-03-20,,,,David Pastor Àlex Pastor,Nostromo Pictures,,,,,,,,,,,,,,,,,,,,,
217,Maska,Neeraj Udhwani,"['Seher Latif', 'Shivani Saran']",,,Manisha Koirala Javed Jaffrey Nikita Dutta Shirley Setia Prit Kamani,"['Akshay Raheja', 'Mikey McCleary', 'Ketan Sodha']",Eeshit Narain,Farooq Hundekar,,Netflix,27-Mar-20,,India,Hindi,,,,,,27-03-20,,,,"['Ishita Moitra', 'Neeraj Udhwani']",Mutant Films,,,,,,,,,,,,,,,,,,,,,
218,The Decline,Patrice Laliberté,Julie Groleau,"['Charles Dionne', 'Nicholas Krief', 'Patrice Laliberté']",,"['Guillaume Laurin', 'Réal Bossé', 'Marc-André Grondin']",Jason Sharp,Christophe Dalpé,Arthur Tarnowski,,Netflix,"February 28, 2020 ( RVQC )",,Canada (Quebec),French,,,,,,28-02-20,,,,,Couronne Nord,,,,,,,,,,,,,,,,,,,,,
219,Uncorked,Prentice Penny,Prentice Penny Jill Ahrens Ryan Ahrens Ben Renzo Datari Turner Chris Pollack Jason Michael Berman,,,Mamoudou Athie Courtney B. Vance Niecy Nash Matt McGorry Sasha Compère Gil Ozeri Kelly Jenrette Bernard David Jones Meera Rohit Kumbhani,Hit-Boy,Elliot Davis,Sandra Montiel,Forge Media Argent Pictures Mandalay Pictures,Netflix,"March 27, 2020 (United States)",104 minutes,United States,English,,,104,,,27-03-20,,,,Prentice Penny,,,,,,,,,,,,,,,,,,,,,,
220,Coffee & Kareem,Michael Dowse,Mike Falbo Ed Helms,,,Ed Helms Terrence Little Gardenhigh Betty Gilpin RonReaco Lee Andrew Bachelor David Alan Grier Taraji P. Henson,Joseph Trapanese,Brian Burgoyne,Daniel Gabbe,Pacific Electric Picture Co.,Netflix,"April 3, 2020 (United States)",88 minutes,United States,English,,,88,,,03-04-20,,,,Shane Mack,,,,,,,,,,,,,,,,,,,,,,
221,The Main Event,Jay Karas,"['Richard Lowell', 'Jay Karas', 'Rupert Parkes', 'Renee Young', 'Adam Pally', 'Keith Lee']","['Adam Pally', 'Seth Carr', 'Keith Lee', 'Renee Young']",,"Seth Carr Tichina Arnold Ken Marino Aryan Simhadri Momona Tamada Glen Gordon Keith Lee Babatunde Aiyegbusi Josh Zaharia Dallas Young Bodhi Sabongui Renee Paquette Matt Polinsky Kofi Kingston Stephen Farrelly Mike ""The Miz"" Mizanin Adam Pally",Rupert Parkes,"['Karsten Gopinath', 'Dan Schalk', 'Rupert Parkes', 'Larry Postel']",Dan Schalk,,Netflix,"April 10, 2020 (United States)",101 minutes,United States,English,,,101,,,10-04-20,,,,,"['WWE Studios', 'Apple Inc.']",Larry Postel,,,,,,Richard Lowell,,,,,,,,,,,,,,
222,Love Wedding Repeat,Dean Craig,Piers Tempest Guglielmo Marchetti,Dean Craig,"['Plan de Table', 'by Francis Nief and Christelle Raynal']",Sam Claflin Olivia Munn Eleanor Tomlinson Joel Fry Tim Key Aisling Bea Jack Farthing Allan Mustafa Freida Pinto,,Hubert Taczanowski,Christian Sandino-Taylor,Notorious Pictures Tempo Productions,Netflix,10-Apr-20,100 minutes,United Kingdom Italy,English,,,100,,,10-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,
